Date,DGS1MO
2002-08-31,0.0014166666666666666
2002-09-30,0.0013333333333333335
2002-10-31,0.0012333333333333332
2002-11-30,0.0010416666666666667
2002-12-31,0.001
2003-01-31,0.000975
2003-02-28,0.0010083333333333333
2003-03-31,0.0009666666666666666
2003-04-30,0.0009416666666666666
2003-05-31,0.0009666666666666666
2003-06-30,0.000675
2003-07-31,0.0007583333333333334
2003-08-31,0.0008166666666666666
2003-09-30,0.000725
2003-10-31,0.0007999999999999999
2003-11-30,0.0007999999999999999
2003-12-31,0.00075
2004-01-31,0.0007083333333333333
2004-02-29,0.0007916666666666666
2004-03-31,0.0007999999999999999
2004-04-30,0.0006916666666666666
2004-05-31,0.0007833333333333333
2004-06-30,0.000975
2004-07-31,0.0010583333333333334
2004-08-31,0.0012083333333333334
2004-09-30,0.001225
2004-10-31,0.0014416666666666666
2004-11-30,0.001725
2004-12-31,0.001575
2005-01-31,0.0017166666666666667
2005-02-28,0.0020916666666666666
2005-03-31,0.0021916666666666664
2005-04-30,0.0022500000000000003
2005-05-31,0.002333333333333333
2005-06-30,0.0024916666666666668
2005-07-31,0.0027083333333333334
2005-08-31,0.002841666666666667
2005-09-30,0.0026249999999999997
2005-10-31,0.0031416666666666667
2005-11-30,0.0033333333333333335
2005-12-31,0.0033416666666666664
2006-01-31,0.0036416666666666667
2006-02-28,0.0037249999999999996
2006-03-31,0.0038750000000000004
2006-04-30,0.003833333333333333
2006-05-31,0.003958333333333334
2006-06-30,0.0037833333333333334
2006-07-31,0.004183333333333333
2006-08-31,0.004266666666666667
2006-09-30,0.003833333333333333
2006-10-31,0.004316666666666667
2006-11-30,0.00435
2006-12-31,0.003958333333333334
2007-01-31,0.004166666666666667
2007-02-28,0.004366666666666667
2007-03-31,0.0042250000000000005
2007-04-30,0.004
2007-05-31,0.0039833333333333335
2007-06-30,0.0035666666666666668
2007-07-31,0.004275
2007-08-31,0.0033499999999999997
2007-09-30,0.0028583333333333334
2007-10-31,0.0033416666666666664
2007-11-30,0.003025
2007-12-31,0.0023
2008-01-31,0.0013666666666666666
2008-02-29,0.001725
2008-03-31,0.0010166666666666666
2008-04-30,0.000975
2008-05-31,0.00165
2008-06-30,0.0013333333333333335
2008-07-31,0.0012916666666666667
2008-08-31,0.0013583333333333331
2008-09-30,0.0008500000000000001
2008-10-31,9.999999999999999e-05
2008-11-30,1.6666666666666667e-05
2008-12-31,9.166666666666667e-05
2009-01-31,0.000125
2009-02-28,0.00013333333333333334
2009-03-31,0.00014166666666666668
2009-04-30,3.3333333333333335e-05
2009-05-31,0.00011666666666666668
2009-06-30,0.00014166666666666668
2009-07-31,0.00011666666666666668
2009-08-31,9.166666666666667e-05
2009-09-30,4.9999999999999996e-05
2009-10-31,8.333333333333334e-06
2009-11-30,6.666666666666667e-05
2009-12-31,3.3333333333333335e-05
2010-01-31,1.6666666666666667e-05
2010-02-28,7.5e-05
2010-03-31,0.000125
2010-04-30,0.00011666666666666668
2010-05-31,0.000125
2010-06-30,0.00014166666666666668
2010-07-31,0.00011666666666666668
2010-08-31,0.00013333333333333334
2010-09-30,0.00011666666666666668
2010-10-31,0.00011666666666666668
2010-11-30,0.00015
2010-12-31,5.833333333333334e-05
2011-01-31,0.000125
2011-02-28,0.00010833333333333334
2011-03-31,4.166666666666667e-05
2011-04-30,1.6666666666666667e-05
2011-05-31,3.3333333333333335e-05
2011-06-30,8.333333333333334e-06
2011-07-31,0.00013333333333333334
2011-08-31,8.333333333333334e-06
2011-09-30,1.6666666666666667e-05
2011-10-31,1.6666666666666667e-05
2011-11-30,1.6666666666666667e-05
2011-12-31,8.333333333333334e-06
2012-01-31,3.3333333333333335e-05
2012-02-29,6.666666666666667e-05
2012-03-31,4.166666666666667e-05
2012-04-30,5.833333333333334e-05
2012-05-31,2.4999999999999998e-05
2012-06-30,3.3333333333333335e-05
2012-07-31,5.833333333333334e-05
2012-08-31,7.5e-05
2012-09-30,4.9999999999999996e-05
2012-10-31,7.5e-05
2012-11-30,9.166666666666667e-05
2012-12-31,1.6666666666666667e-05
2013-01-31,3.3333333333333335e-05
2013-02-28,5.833333333333334e-05
2013-03-31,3.3333333333333335e-05
2013-04-30,2.4999999999999998e-05
2013-05-31,2.4999999999999998e-05
2013-06-30,1.6666666666666667e-05
2013-07-31,2.4999999999999998e-05
2013-08-31,1.6666666666666667e-05
2013-09-30,2.4999999999999998e-05
2013-10-31,2.4999999999999998e-05
2013-11-30,4.166666666666667e-05
2013-12-31,8.333333333333334e-06
2014-01-31,2.4999999999999998e-05
2014-02-28,3.3333333333333335e-05
2014-03-31,2.4999999999999998e-05
2014-04-30,1.6666666666666667e-05
2014-05-31,4.166666666666667e-05
2014-06-30,1.6666666666666667e-05
2014-07-31,8.333333333333334e-06
2014-08-31,1.6666666666666667e-05
2014-09-30,1.6666666666666667e-05
2014-10-31,8.333333333333334e-06
2014-11-30,3.3333333333333335e-05
2014-12-31,2.4999999999999998e-05
2015-01-31,8.333333333333334e-06
2015-02-28,1.6666666666666667e-05
2015-03-31,4.166666666666667e-05
2015-04-30,0.0
2015-05-31,8.333333333333334e-06
2015-06-30,1.6666666666666667e-05
2015-07-31,3.3333333333333335e-05
2015-08-31,0.0
2015-09-30,0.0
2015-10-31,8.333333333333334e-06
2015-11-30,9.166666666666667e-05
2015-12-31,0.00011666666666666668
2016-01-31,0.00018333333333333334
2016-02-29,0.00019166666666666667
2016-03-31,0.00015
2016-04-30,0.00013333333333333334
2016-05-31,0.00022500000000000002
2016-06-30,0.0001666666666666667
2016-07-31,0.00015833333333333332
2016-08-31,0.00021666666666666668
2016-09-30,0.0001666666666666667
2016-10-31,0.0001666666666666667
2016-11-30,0.00031666666666666665
2016-12-31,0.00036666666666666667
2017-01-31,0.0004166666666666667
2017-02-28,0.0003333333333333334
2017-03-31,0.0006166666666666666
2017-04-30,0.0005666666666666667
2017-05-31,0.0007166666666666667
2017-06-30,0.0007
2017-07-31,0.0008333333333333334
2017-08-31,0.0007916666666666666
2017-09-30,0.0007999999999999999
2017-10-31,0.000825
2017-11-30,0.0009499999999999999
2017-12-31,0.0010666666666666667
2018-01-31,0.0011916666666666666
2018-02-28,0.00125
2018-03-31,0.0013583333333333331
2018-04-30,0.001375
2018-05-31,0.0014666666666666667
2018-06-30,0.001475
2018-07-31,0.0016166666666666666
2018-08-31,0.001625
2018-09-30,0.0017666666666666668
2018-10-31,0.0018333333333333335
2018-11-30,0.001925
2018-12-31,0.002033333333333333
2019-01-31,0.0020166666666666666
2019-02-28,0.002033333333333333
2019-03-31,0.0020250000000000003
2019-04-30,0.0020250000000000003
2019-05-31,0.001958333333333333
2019-06-30,0.0018166666666666667
2019-07-31,0.0016749999999999998
2019-08-31,0.00175
2019-09-30,0.0015916666666666666
2019-10-31,0.001325
2019-11-30,0.00135
2019-12-31,0.0012333333333333332
2020-01-31,0.0013
2020-02-29,0.0012083333333333334
2020-03-31,4.166666666666667e-05
2020-04-30,8.333333333333334e-05
2020-05-31,0.00010833333333333334
2020-06-30,0.00010833333333333334
2020-07-31,7.5e-05
2020-08-31,6.666666666666667e-05
2020-09-30,6.666666666666667e-05
2020-10-31,6.666666666666667e-05
2020-11-30,6.666666666666667e-05
2020-12-31,6.666666666666667e-05
2021-01-31,5.833333333333334e-05
2021-02-28,3.3333333333333335e-05
2021-03-31,8.333333333333334e-06
2021-04-30,8.333333333333334e-06
2021-05-31,8.333333333333334e-06
2021-06-30,4.166666666666667e-05
2021-07-31,4.166666666666667e-05
2021-08-31,2.4999999999999998e-05
2021-09-30,5.833333333333334e-05
2021-10-31,4.9999999999999996e-05
2021-11-30,9.166666666666667e-05
